Participant,Grade,Age,Age.c,Timepoint,ctopp_el_raw,ctopp_nr_raw,ctopp_sm_raw,wj_wordid_raw,wj_wordattack_raw,wj_wordid_standard,Sex
103,KG_3,6.5,0.75,1,8,10,14,22,5,117,1
105,FG_1,7,1,2,7,6,18,29,9,102,1
105,FG_3,7.58,1.58,3,8,7,20,41,16,109,1
105,KG_1,6,0,0,7,8,10,20,4,108,1
105,KG_3,6.75,0.75,1,6,8,16,24,8,102,1
106,FG_1,6.08,1.08,2,6,8,16,27,3,118,1
106,FG_3,6.83,1.83,3,6,11,14,37,8,119,1
106,KG_1,5,0,0,1,7,13,14,3,114,1
106,KG_3,5.67,0.67,1,6,11,12,22,3,118,1
107,FG_1,7,1.17,2,14,11,20,35,9,113,0
107,FG_3,7.58,1.75,3,16,11,18,37,13,104,0
107,KG_1,5.83,0,0,6,9,14,19,8,111,0
107,KG_3,6.58,0.75,1,9,12,19,27,4,110,0
108,FG_1,6.83,1,2,4,8,14,22,4,96,1
108,FG_3,7.5,1.67,3,6,7,20,32,4,98,1
108,KG_1,NA,0,0,NA,NA,NA,NA,NA,NA,1
108,KG_3,6.58,0.75,1,2,7,10,24,3,105,1
109,FG_1,6.92,1.09,2,12,3,19,23,12,94,0
109,FG_3,7.67,1.84,3,13,7,20,32,15,94,0
109,KG_1,5.83,0,0,3,5,2,12,2,97,0
109,KG_3,6.67,0.84,1,10,NA,16,24,6,103,0
119,FG_1,NA,1.16,2,NA,NA,NA,NA,NA,NA,1
119,FG_3,7.17,1.75,3,7,12,19,45,17,123,1
119,KG_1,5.42,0,0,1,11,14,21,6,123,1
119,KG_3,6.17,0.75,1,7,9,18,32,14,125,1
125,FG_1,6.42,0.92,2,14,9,19,37,13,126,1
125,FG_3,7.08,1.58,3,16,10,20,47,21,126,1
125,KG_1,5.5,0,0,2,7,10,16,4,110,1
125,KG_3,6.17,0.67,1,9,10,18,30,7,123,1
127,FG_1,6.58,0.91,2,8,10,18,48,19,138,0
127,FG_3,7.17,1.5,3,14,6,20,51,25,129,0
127,KG_1,5.67,0,0,7,8,10,41,13,150,0
127,KG_3,6.17,0.5,1,11,5,18,43,16,139,0
